7.2.0.006,8.0.0,Transition notes
Chiller Exhaust Stack Temp,Chiller Exhaust Temperature,
Chiller False Load Heat Trans,Chiller False Load Heat Transfer Energy,
Chiller False Load Heat Trans Rate,Chiller False Load Heat Transfer Rate,
Chiller Fuel COP,Chiller COP,
Chiller FuelOil#1 Consumption,Chiller FuelOil#1 Energy,Forkeq:  Chiller:*
Chiller FuelOil#1 Consumption,Chiller Heater FuelOil#1 Energy,Forkeq:  ChillerHeater:*
Chiller FuelOil#1 Consumption Rate,Chiller FuelOil#1 Rate,Forkeq:  Chiller:*
Chiller FuelOil#1 Consumption Rate,Chiller Heater FuelOil#1 Rate,Forkeq:  ChillerHeater:*
Chiller FuelOil#1 Mass Consumption,Chiller FuelOil#1 Mass ,
Chiller FuelOil#2 Consumption,Chiller FuelOil#2 Energy,Forkeq:  Chiller:*
Chiller FuelOil#2 Consumption,Chiller Heater FuelOil#2 Energy,Forkeq:  ChillerHeater:*
Chiller FuelOil#2 Consumption Rate,Chiller FuelOil#2 Rate,Forkeq:  Chiller:*
Chiller FuelOil#2 Consumption Rate,Chiller Heater FuelOil#2 Rate,Forkeq:  ChillerHeater:*
Chiller FuelOil#2 Mass Consumption,Chiller FuelOil#2 Mass ,
Chiller Gas Consumption,Chiller Gas Energy,Forkeq:  Chiller:*
Chiller Gas Consumption,Chiller Heater Gas Energy,Forkeq:  ChillerHeater:*
Chiller Gas Consumption Rate,Chiller Gas Rate,Forkeq:  Chiller:*
Chiller Gas Consumption Rate,Chiller Heater Gas Rate,Forkeq:  ChillerHeater:*
Chiller Gas Mass Consumption,Chiller Gas Mass,
Chiller Gasoline Consumption,Chiller Gasoline Energy,Forkeq:  Chiller:*
Chiller Gasoline Consumption,Chiller Heater Gasoline Energy,Forkeq:  ChillerHeater:*
Chiller Gasoline Consumption Rate,Chiller Gasoline Rate,Forkeq:  Chiller:*
Chiller Gasoline Consumption Rate,Chiller Heater Gasoline Rate,Forkeq:  ChillerHeater:*
Chiller Gasoline Mass Consumption,Chiller Gasoline Mass,
Chiller Heat Recovery,Chiller Total Recovered Heat Energy,
Chiller Heat Recovery Inlet Temp,Chiller Heat Recovery Inlet Temperature,
Chiller Heat Recovery Outlet Temp,Chiller Heat Recovery Outlet Temperature,
Chiller Heat Recovery Rate,Chiller Total Recovered Heat Rate,
Chiller Hot Water Consumption,Chiller Source Hot Water Energy,
Chiller Hot Water Consumption Rate,Chiller Source Hot Water Rate,
Chiller Jacket Heat Recovery,Chiller Jacket Recovered Heat Energy,
Chiller Jacket Heat Recovery Rate,Chiller Jacket Recovered Heat Rate,
Chiller Loop Losses,Chiller Steam Heat Loss Rate,
Chiller Lube Heat Recovery,Chiller Lube Recovered Heat Energy,
Chiller Lube Heat Recovery Rate,Chiller Lube Recovered Heat Rate,
Chiller Part-Load Ratio,Chiller Part Load Ratio,
Chiller Propane Consumption,Chiller Heater Propane Energy,Forkeq:  Chiller:*
Chiller Propane Consumption,Chiller Propane Energy,Forkeq:  ChillerHeater:*
Chiller Propane Consumption Rate,Chiller Heater Propane Rate,Forkeq:  Chiller:*
Chiller Propane Consumption Rate,Chiller Propane Rate,Forkeq:  ChillerHeater:*
Chiller Propane Mass Consumption,Chiller Propane Mass ,
Chiller Shaft Energy,Chiller Drive Shaft Energy,
Chiller Shaft Power,Chiller Drive Shaft Power,
Chiller Steam Consumption,Chiller Source Steam Energy,
Chiller Steam Consumption Rate,Chiller Source Steam Rate,
Chiller Total Heat Recovery,Chiller Total Recovered Heat Energy,
Chiller Total Heat Recovery Rate,Chiller Total Recovered Heat Rate,
Clothing Surface Temperature,Zone Thermal Comfort Clothing Surface Temperature,
CO Pollution From Coal,Environmental Impact Coal CO Emissions Mass,
CO Pollution From Diesel,Environmental Impact Diesel CO Emissions Mass,
CO Pollution From Electricity,Environmental Impact Electricity CO Emissions Mass,
CO Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 CO Emissions Mass,
CO Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 CO Emissions Mass,
CO Pollution From Gasoline,Environmental Impact Gasoline CO Emissions Mass,
CO Pollution From Natural Gas,Environmental Impact Natural Gas CO Emissions Mass,
CO Pollution From Propane,Environmental Impact Propane CO Emissions Mass,
CO2 Pollution From Coal,Environmental Impact Coal CO2 Emissions Mass,
CO2 Pollution From Diesel,Environmental Impact Diesel CO2 Emissions Mass,
CO2 Pollution From Electricity,Environmental Impact Electricity CO2 Emissions Mass,
CO2 Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 CO2 Emissions Mass,
CO2 Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 CO2 Emissions Mass,
CO2 Pollution From Gasoline,Environmental Impact Gasoline CO2 Emissions Mass,
CO2 Pollution From Natural Gas,Environmental Impact Natural Gas CO2 Emissions Mass,
CO2 Pollution From Propane,Environmental Impact Propane CO2 Emissions Mass,
CO2 source and sink rate,Contaminant Source or Sink CO2 Gain Volume Flow Rate,
Coil System Cycling Part Load Ratio,Coil System Cycling Ratio,
Common Pipe Flow Direction,Plant Common Pipe Flow Direction Status,
Common Pipe Flow Temperature,Plant Common Pipe Temperature,
Common Pipe Mass Flow Rate,Plant Common Pipe Mass Flow Rate,
Compressor Rack Condenser Heat Transfer Energy,Refrigeration Compressor Rack Condenser Heat Transfer Energy,
Compressor Rack Condenser Heat Transfer Rate,Refrigeration Compressor Rack Condenser Heat Transfer Rate,
Compressor Rack Condenser Mass Flow Rate,Refrigeration Compressor Rack Condenser Mass Flow Rate,
Cond Loop Cooling Demand,Plant Supply Side Cooling Demand Rate,
Cond Loop Demand Not Distributed,Plant Supply Side Not Distributed Demand Rate,
Cond Loop Demand Side Pressure Drop,Plant Demand Side Loop Pressure Difference,
Cond Loop Heating Demand,Plant Supply Side Heating Demand Rate,
Cond Loop Inlet Temp,Plant Supply Side Inlet Temperature,
Cond Loop InletNode Flowrate,Plant Supply Side Inlet Mass Flow Rate,
Cond Loop Outlet Temp,Plant Supply Side Outlet Temperature,
Cond Loop Pressure Drop,Plant Loop Pressure Difference,
Cond Loop Supply Side Pressure Drop,Plant Supply Side Loop Pressure Difference,
Cond Loop Unmet Demand,Plant Supply Side Unmet Demand Rate,
CondFD Inner Solver Loop Iterations,CondFD Inner Solver Loop Iteration Count
CondFD Nodal Temperature,CondFD Surface Temperature Node <#>,"CondFD, Will create for 10 nodes"
Constant Flow Low Temp Radiant Chilled Water Consumption,Zone Radiant HVAC Cooling Fluid Heat Transfer Energy,
Constant Flow Low Temp Radiant Cooling Energy,Zone Radiant HVAC Cooling Energy,
Constant Flow Low Temp Radiant Cooling Rate,Zone Radiant HVAC Cooling Rate,
Constant Flow Low Temp Radiant Heating Energy,Zone Radiant HVAC Heating Energy,
Constant Flow Low Temp Radiant Heating Rate,Zone Radiant HVAC Heating Rate,
Constant Flow Low Temp Radiant Hot Water Consumption,Zone Radiant HVAC Heating Fluid Heat Transfer Energy,
Constant Flow Low Temp Radiant Injection Mass Flow,Zone Radiant HVAC Injection Mass Flow Rate,
Constant Flow Low Temp Radiant Mass Flow,Zone Radiant HVAC Mass Flow Rate,
Constant Flow Low Temp Radiant Pump Electric Consumption,Zone Radiant HVAC Pump Electric Energy,
Constant Flow Low Temp Radiant Pump Electric Power,Zone Radiant HVAC Pump Electric Power,
Constant Flow Low Temp Radiant Pump Heat To Fluid,Zone Radiant HVAC Pump Fluid Heat Gain Rate,
Constant Flow Low Temp Radiant Pump Heat To Fluid Energy,Zone Radiant HVAC Pump Fluid Heat Gain Energy,
Constant Flow Low Temp Radiant Pump Water Inlet Temp,Zone Radiant HVAC Pump Inlet Temperature,
Constant Flow Low Temp Radiant Pump Water Mass Flow,Zone Radiant HVAC Pump Mass Flow Rate,
Constant Flow Low Temp Radiant Recirculation Mass Flow,Zone Radiant HVAC Recirculation Mass Flow Rate,
Constant Flow Low Temp Radiant Water Inlet Temp,Zone Radiant HVAC Inlet Temperature,
Constant Flow Low Temp Radiant Water Outlet Temp,Zone Radiant HVAC Outlet Temperature,
Constant Low Temp Radiant Time Condensation Occurring,Zone Radiant HVAC Moisture Condensation Time,
Cooled Beam Chilled Water Consumption,Zone Air Terminal Beam Chilled Water Energy,
Cooled Beam Cooling Energy,Zone Air Terminal Beam Sensible Cooling Energy,
Cooled Beam Cooling Rate,Zone Air Terminal Beam Sensible Cooling Rate,
Cooled Beam Supply Air Cooling Energy,Zone Air Terminal Supply Air Sensible Cooling Energy,
Cooled Beam Supply Air Cooling Rate,Zone Air Terminal Supply Air Sensible Cooling Rate,
Cooled Beam Supply Air Heating Energy,Zone Air Terminal Supply Air Sensible Heating Energy,
Cooled Beam Supply Air Heating Rate,Zone Air Terminal Supply Air Sensible Heating Rate,
Cooling Coil Area Wet Fraction,Cooling Coil Wetted Area Fraction,
Cooling Coil Condensate Volumetric Flow Rate,Cooling Coil Condensate Volume Flow Rate,
Cooltower Inlet Humidity Ratio,Zone Cooltower Air Inlet Humidity Ratio,
Cooltower Inlet Temperature,Zone Cooltower Air Inlet Temperature,
Cooltower Latent Heat Loss,Zone Cooltower Latent Heat Loss Energy,
Cooltower Latent Heat Loss Rate,Zone Cooltower Latent Heat Loss Rate,
Cooltower Mains Water Mains Draw,Zone Cooltower Mains Water Volume,
Cooltower Mass,Zone Cooltower Air Mass,
Cooltower Mass Flow Rate,Zone Cooltower Air Mass Flow Rate,
Cooltower Outlet Humidity Ratio,Zone Cooltower Air Outlet Humidity Ratio,
Cooltower Outlet Temperature,Zone Cooltower Air Outlet Temperature,
Cooltower Pump Electric Power,Zone Cooltower Pump Electric Power,
Cooltower Pump Electric Consumption,Zone Cooltower Pump Electric Energy,
Cooltower Sensible Heat Loss Rate,Zone Cooltower Sensible Heat Loss Rate,
Cooltower Sensible Heat Loss,Zone Cooltower Sensible Heat Loss Energy,
Cooltower Starved Water Mains Draw,Zone Cooltower Starved Mains Water Volume,
Cooltower Tank Water Consumption,Zone Cooltower Storage Tank Water Volume,
Cooltower Volume,Zone Cooltower Air Volume,
Cooltower Volume Flow Rate,Zone Cooltower Air Volume Flow Rate,
Cooltower Water Consumption,Zone Cooltower Water Volume,
Critical Zone for Warmest Temp Flow Control,Setpoint Manager Warmest Temperature Critical Zone Number,
CV Inflow Aperture Area,Room Air Zone Inflow Opening Area,
CV Jet Region Average Velocity,Room Air Zone Jet Region Average Air Velocity,
CV Jet Region Temperature,Room Air Zone Jet Region Temperature,
CV Ratio Between Recirculation and Inflow Rate,Room Air Zone Recirculation and Inflow Rate Ratio,
CV Recirculation Region Average Velocity,Room Air Zone Recirculation Region Average Air Velocity,
CV Recirculation Region Temperature,Room Air Zone Recirculation Region Temperature,
CV Recirculations Occur In The Flow,Room Air Zone Is Recirculating Status,
CV Room Length,Room Air Zone Room Length,
CV Zone Air is Mixing,Room Air Zone Is Mixing Status,
Daylight Illum at Ref Point 1,Daylighting Reference Point 1 Illuminance,
Daylight Illum at Ref Point 1 from Window,Daylighting Window Reference Point 1 Illuminance,
Daylight Illum at Ref Point 2,Daylighting Reference Point 2 Illuminance,
Daylight Illum at Ref Point 2 from Window,Daylighting Window Reference Point 2 Illuminance,
Daylight Luminance of Window As Viewed From Ref Point 1,Daylighting Window Reference Point 1 View Luminance,
Daylight Luminance of Window As Viewed From Ref Point 2,Daylighting Window Reference Point 2 View Luminance,
Daylight Saving Time Indicator,Site Daylight Saving Time Status,
DayType Index,Site Day Type Index,
debug DifShdgRatioHoriz,Debug Surface Solar Shading Model DifShdgRatioHoriz,
debug DifShdgRatioIsoSky,Debug Surface Solar Shading Model DifShdgRatioIsoSky,
Debug Last Loop Side Simulated,Debug Plant Last Simulated Loop Side,
debug WithShdgIsoSky,Debug Surface Solar Shading Model WithShdgIsoSky,
debug WoShdgIsoSky,Debug Surface Solar Shading Model WoShdgIsoSky,
Deep Ground Temperature,Site Deep Ground Temperature,
DElight Reference Point Daylight Illuminance,Daylighting Reference Point Illuminance,
Demand Manager Average Demand,Demand Manager Average Demand Power,
Demand Manager Demand Limit,Demand Manager Demand Limit Power,
Demand Manager Exterior Energy Iterations,Demand Manager Exterior Energy Iteration Count,
Demand Manager Heat Balance Iterations,Demand Manager Heat Balance Iteration Count,
Demand Manager HVAC Iterations,Demand Manager HVAC Iteration Count,
Demand Manager Meter Demand,Demand Manager Meter Demand Power,
Demand Manager Over Limit,Demand Manager Over Limit Power,
Demand Manager Over Limit Duration,Demand Manager Over Limit Time,
Demand Manager Peak Demand,Demand Manager Peak Demand Power,
Demand Manager Scheduled Limit,Demand Manager Scheduled Limit Power,
Desiccant Dehumidifier Electric Consumption,Dehumidifier Electric Energy,
Desiccant Dehumidifier Electric Power,Dehumidifier Electric Power,
Desiccant Dehumidifier Exhaust Fan Electric Consumption,Dehumidifier Exhaust Fan Electric Energy,
Desiccant Dehumidifier Exhaust Fan Electric Power,Dehumidifier Exhaust Fan Electric Power,
Desiccant Dehumidifier Part Load Ratio,Dehumidifier Part Load Ratio,
Desiccant Dehumidifier Process Air Mass Flow Rate,Dehumidifier Process Air Mass Flow Rate,
Desiccant Dehumidifier Regen Air Mass Flow Rate,Dehumidifier Regeneration Air Mass Flow Rate,
Desiccant Dehumidifier Regen Air Velocity,Dehumidifier Regeneration Air Speed,
Desiccant Dehumidifier Regen Energy,Dehumidifier Regeneration Energy,
Desiccant Dehumidifier Regen Energy Rate,Dehumidifier Regeneration Rate,
Desiccant Dehumidifier Specific Regen Energy,Dehumidifier Regeneration Specific Energy,
Desiccant Dehumidifier Water Removal Rate,Dehumidifier Removed Water Mass Flow Rate,
Desiccant Dehumidifier Water Removed,Dehumidifier Removed Water Mass,
Desuperheater Heat Reclaim Efficiency Modifier Curve Output,Water Heater Heat Reclaim Efficiency Modifier Multiplier,
Desuperheater Off-Cycle Parasitic Electric Consumption,Water Heater Off Cycle Parasitic Electric Energy,
Desuperheater Off-Cycle Parasitic Electric Power,Water Heater Off Cycle Parasitic Electric Power,
Desuperheater On-Cycle Parasitic Electric Consumption,Water Heater On Cycle Parasitic Electric Energy,
Desuperheater On-Cycle Parasitic Electric Power,Water Heater On Cycle Parasitic Electric Power,
Desuperheater PLR,Water Heater Part Load Ratio,
Desuperheater Pump Electric Consumption,Water Heater Pump Electric Energy,
Desuperheater Pump Electric Power,Water Heater Pump Electric Power,
Desuperheater Water Heating Energy,Water Heater Heating Energy,
Desuperheater Water Heating Rate,Water Heater Heating Rate,
Detailed Ice Thermal Storage Blended Outlet Temp,Ice Thermal Storage Blended Outlet Temperature,
Detailed Ice Thermal Storage Bypass Mass Flow Rate,Ice Thermal Storage Bypass Mass Flow Rate,
Detailed Ice Thermal Storage Charging Energy,Ice Thermal Storage Cooling Charge Energy,
Detailed Ice Thermal Storage Charging Rate,Ice Thermal Storage Cooling Charge Rate,
Detailed Ice Thermal Storage Cooling/Discharge Energy,Ice Thermal Storage Cooling Discharge Energy,
Detailed Ice Thermal Storage Cooling/Discharge Rate,Ice Thermal Storage Cooling Discharge Rate,
Detailed Ice Thermal Storage End Fraction,Ice Thermal Storage End Fraction,
Detailed Ice Thermal Storage Fluid Inlet Temp,Ice Thermal Storage Fluid Inlet Temperature,
Detailed Ice Thermal Storage Fraction Change,Ice Thermal Storage Change Fraction,
Detailed Ice Thermal Storage Fraction on Coil,Ice Thermal Storage On Coil Fraction,
Detailed Ice Thermal Storage Load Requested,Ice Thermal Storage Cooling Rate,
Detailed Ice Thermal Storage Mass Flow Rate,Ice Thermal Storage Mass Flow Rate,
Detailed Ice Thermal Storage Parasitic Electric Consumption,Ice Thermal Storage Ancillary Electric Energy,
Detailed Ice Thermal Storage Parasitic Electric Power,Ice Thermal Storage Ancillary Electric Power,
Detailed Ice Thermal Storage Tank Mass Flow Rate,Ice Thermal Storage Tank Mass Flow Rate,
Detailed Ice Thermal Storage Tank Outlet Temp,Ice Thermal Storage Tank Outlet Temperature,
Diffuse Solar,Site Diffuse Solar Radiation Rate per Area,
Diffuse Solar into Zone from Inside Reveal Surfaces,Surface Window Inside Reveal Reflected Diffuse Zone Solar Radiation Rate,
Diffuse Solar on Window Frame from Inside Reveal Surfaces,Surface Window Inside Reveal Reflected Diffuse Frame Solar Radiation Rate,
Diffuse Solar on Window Glass from Inside Reveal Surfaces,Surface Window Inside Reveal Reflected Diffuse Glazing Solar Radiation Rate,
Direct Air Sensible Cooling Energy,Zone Air Terminal Sensible Cooling Energy,
Direct Air Sensible Cooling Rate,Zone Air Terminal Sensible Cooling Rate,
Direct Air Sensible Heating Energy,Zone Air Terminal Sensible Heating Energy,
Direct Air Sensible Heating Rate,Zone Air Terminal Sensible Heating Rate,
Direct Evap Saturation Efficiency,Evaporative Cooler Wet Bulb Effectiveness,
Direct Fired Absorption Chiller Cooling Capacity,Chiller Heater Maximum Cooling Rate,
Direct Fired Absorption Chiller Cooling Diesel Consumption,Chiller Heater Cooling Diesel Energy,
Direct Fired Absorption Chiller Cooling Diesel Consumption Rate,Chiller Heater Cooling Diesel Rate,
Direct Fired Absorption Chiller Cooling Electric Consumption,Chiller Heater Cooling Electric Energy,
Direct Fired Absorption Chiller Cooling Electric Power,Chiller Heater Cooling Electric Power,
